domain,object_type,object,local_state,remote_state,existing_migration,covered_by_migration,classification,local_drift,remote_pending,new_migration_required,reason,next_action
WORKOUT_DELIVERY,column,public.treino_eventos.to_status text,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.actor_id uuid,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.metadata jsonb default '{}'::jsonb not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.occurred_at timestamptz default now() not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,column,public.treino_eventos.created_at timestamptz default now() not null,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treinos.treinos_lifecycle_status_check,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treinos.treinos_template_origin_type_check,implemented locally by migration,remote evidence not a local blocker,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,SEMANTIC_FALSE_POSITIVE,NO,NO,NO,"Remote evidence differs by normalized representation, not by intended local semantics.",Keep out of active Workout Delivery blockers.
WORKOUT_DELIVERY,constraint,public.treinos.treinos_template_origin_snapshot_object_check,implemented locally by migration,remote evidence not a local blocker,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,SEMANTIC_FALSE_POSITIVE,NO,NO,NO,"Remote evidence differs by normalized representation, not by intended local semantics.",Keep out of active Workout Delivery blockers.
WORKOUT_DELIVERY,constraint,public.treinos.treinos_lifecycle_dates_check,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treino_eventos.treino_eventos_pkey,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treino_eventos.treino_eventos_treino_id_fkey,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treino_eventos.treino_eventos_aluno_id_fkey,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treino_eventos.treino_eventos_event_type_check,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,constraint,public.treino_eventos.treino_eventos_metadata_object_check,implemented locally by migration,remote evidence not a local blocker,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,SEMANTIC_FALSE_POSITIVE,NO,NO,NO,"Remote evidence differs by normalized representation, not by intended local semantics.",Keep out of active Workout Delivery blockers.
WORKOUT_DELIVERY,index,public.treinos.treinos_user_aluno_lifecycle_idx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,index,public.treinos.treinos_user_delivered_at_idx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,index,public.treinos.treinos_user_template_origin_idx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,index,public.treinos.treinos_user_application_idempotency_uidx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,index,public.treino_eventos.treino_eventos_user_treino_occurred_idx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,index,public.treino_eventos.treino_eventos_user_aluno_occurred_idx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,index,public.treino_eventos.treino_eventos_treino_event_type_idx,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,rls,public.treino_eventos.row_level_security,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,policy,public.treino_eventos.Usuarios podem listar eventos dos seus treinos,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,grant,public.treino_eventos anon all revoked,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,RESOLVED_BY_PHASE1_REMOTE_PENDING,NO,YES,NO,Grant posture is already hardened locally by the approved Phase 1 security migration.,Apply approved migration bundle in production later; do not create duplicate SQL.
WORKOUT_DELIVERY,grant,public.treino_eventos authenticated select,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,RESOLVED_BY_PHASE1_REMOTE_PENDING,NO,YES,NO,Grant posture is already hardened locally by the approved Phase 1 security migration.,Apply approved migration bundle in production later; do not create duplicate SQL.
WORKOUT_DELIVERY,grant,public.salvar_treino_composto(jsonb) authenticated execute,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,RESOLVED_BY_PHASE1_REMOTE_PENDING,NO,YES,NO,Grant posture is already hardened locally by the approved Phase 1 security migration.,Apply approved migration bundle in production later; do not create duplicate SQL.
WORKOUT_DELIVERY,grant,public.entregar_treino(uuid) authenticated execute,implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,RESOLVED_BY_PHASE1_REMOTE_PENDING,NO,YES,NO,Grant posture is already hardened locally by the approved Phase 1 security migration.,Apply approved migration bundle in production later; do not create duplicate SQL.
WORKOUT_DELIVERY,grant,"public.alterar_estado_treino(uuid,text) authenticated execute",implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,RESOLVED_BY_PHASE1_REMOTE_PENDING,NO,YES,NO,Grant posture is already hardened locally by the approved Phase 1 security migration.,Apply approved migration bundle in production later; do not create duplicate SQL.
WORKOUT_DELIVERY,function,public.salvar_treino_composto(jsonb),implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,function,public.entregar_treino(uuid),implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,function,"public.alterar_estado_treino(uuid,text)",implemented locally by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
WORKOUT_DELIVERY,trigger,none,no trigger required by migration,REMOTE_RECONCILIATION_PENDING,supabase/migrations/20260728030000_workout_delivery_integration_v1.sql,YES,LOCAL_IMPLEMENTED_REMOTE_PENDING,NO,YES,NO,Object is covered by the existing Workout Delivery migration and remains pending only in production evidence.,Reclassify as remote pending; do not create duplicate migration.
STUDENT_IDENTITY,dependency,authenticated student workout access,deferred feature dependency,remote evidence absent until student identity deployment,supabase/migrations/20260730090000_student_identity_contract.sql,YES,DEFERRED_TO_STUDENT_IDENTITY,NO,NO,NO,Student-facing ownership/access is intentionally outside this restricted Workout Delivery reconciliation.,Handle in STUDENT_IDENTITY_DEPLOYMENT_DESIGN.
