category,object,previous_status,current_local_state,known_remote_state,resolved_by_phase,current_status,residual_risk,next_action
CONSTRAINTS,treinos_template_origin_type_check,MATERIAL_DIFFERENCE,semantic check equivalent,remote evidence not material,AUDITOR_NORMALIZATION,SEMANTIC_FALSE_POSITIVE,NONE,Keep normalized out of blockers.
AOE_SECURITY,aoe_idempotency_get_or_create anon EXECUTE,REMOTE_ONLY_GRANT,anon EXECUTE=false locally,remote evidence still shows anon grant until applied,20260801173000,RESOLVED_BY_PHASE32_GROUP_E,SECURITY,Apply approved migration bundle before declaring production reconciled.
UTILITY_FUNCTIONS,set_workout_templates_updated_at search_path and public/anon/authenticated EXECUTE,BODY_DIFFERENT/REMOTE_ONLY_GRANTS,search_path=public; public/anon/authenticated EXECUTE=false,remote evidence showed missing search_path and excessive grants,20260801180000,RESOLVED_BY_PHASE34_GROUP_A,SECURITY,Apply approved migration bundle before declaring production reconciled.
AOE_BODY,aoe_idempotency_get_or_create body,BODY_DIFFERENT,local body preserved,remote body differs,DEFERRED,DEFERRED_TO_AOE_BODY_RECONCILIATION,BUSINESS_LOGIC,Review body semantics separately; do not mix with grant hardening.
ADMIN_FUNCTIONS,admin_atualizar_perfil legacy overload,REMOTE_OVERLOAD_ONLY,modern overload present locally,remote legacy overload present,DEFERRED,REMOTE_ONLY_LEGACY,COMPATIBILITY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
ADMIN_FUNCTIONS,admin_bloquear_usuario legacy overload,REMOTE_OVERLOAD_ONLY,modern overload present locally,remote legacy overload present,DEFERRED,REMOTE_ONLY_LEGACY,COMPATIBILITY,EXTERNAL_CONSUMER_REVIEW_REQUIRED
FINANCIAL_FUNCTIONS,admin_liberar_assinante legacy overload,REMOTE_OVERLOAD_ONLY,modern overload present locally,remote legacy overload present,DEFERRED,REMOTE_ONLY_LEGACY,FINANCIAL,MANUAL_FINANCIAL_DECISION_REQUIRED
FINANCIAL_FUNCTIONS,admin_liberar_beta legacy overload,REMOTE_OVERLOAD_ONLY,modern overload present locally,remote legacy overload present,DEFERRED,REMOTE_ONLY_LEGACY,FINANCIAL,MANUAL_FINANCIAL_DECISION_REQUIRED
FINANCIAL_FUNCTIONS,admin_upsert_assinatura legacy overload,REMOTE_OVERLOAD_ONLY,modern overload present locally,remote legacy overload present,DEFERRED,REMOTE_ONLY_LEGACY,FINANCIAL,MANUAL_FINANCIAL_DECISION_REQUIRED
ADMIN_FUNCTIONS,admin_listar_logs body,BODY_DIFFERENT,local body differs,remote body differs,DEFERRED,MANUAL_ADMIN_DECISION_REQUIRED,BUSINESS_LOGIC,Manual product/admin decision before SQL.
ADMIN_FUNCTIONS,admin_listar_usuarios body,BODY_DIFFERENT,local body differs,remote body differs,DEFERRED,MANUAL_ADMIN_DECISION_REQUIRED,BUSINESS_LOGIC,Manual product/admin decision before SQL.
ADMIN_FUNCTIONS,admin_registrar_log body,BODY_DIFFERENT,local body differs,remote body differs,DEFERRED,MANUAL_ADMIN_DECISION_REQUIRED,BUSINESS_LOGIC,Manual product/admin decision before SQL.
FINANCIAL_FUNCTIONS,admin_upsert_assinatura modern body,BODY_DIFFERENT,local financial/admin behavior differs,remote body differs,DEFERRED,MANUAL_FINANCIAL_DECISION_REQUIRED,FINANCIAL,Product/financial behavior reconciliation pending.
STUDENT_IDENTITY,student_user_id and student RPCs,LOCAL_ONLY,local implemented,remote absent,20260730090000,LOCAL_ONLY_FUTURE_DEPLOYMENT,FEATURE_CONTRACT,DEFERRED_TO_STUDENT_IDENTITY
WORKOUT_DELIVERY,workout delivery backend contract,DIVERGENT,local implemented by existing migration; local final drift zero,REMOTE_WORKOUT_DELIVERY_PENDING,20260728030000,WORKOUT_DELIVERY_LOCAL_COMPLETE_REMOTE_PENDING,FEATURE_CONTRACT,Do not create duplicate migration; apply approved bundle later before production convergence.
MIGRATION_HISTORY,remote migration history alignment,INCONCLUSIVE,local sequence coherent,remote history not aligned for reconciliation completion,DEFERRED,HISTORY_ALIGNMENT_PENDING,HISTORY,No migration repair until schema convergence and strategy approval.
