category,schema,object,subobject,local_state,remote_state,status,severity,source_migration,details,recommended_action
column,public,acompanhamento_eventos,aluno_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=3 remote_raw=3 local_norm=3 remote_norm=3 local_hash=2b5d8 remote_hash=2b5d8,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,created_at,present,present,EQUIVALENT,info,data_type: local_raw=timestamp with time zone remote_raw=timestamp with time zone local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; udt_name: local_raw=timestamptz remote_raw=timestamptz local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=now() remote_raw=now() local_norm=now() remote_norm=now() local_hash=1004652a remote_hash=1004652a; ordinal_position: local_raw=14 remote_raw=14 local_norm=14 remote_norm=14 local_hash=5970ca remote_hash=5970ca,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,event_key,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=13 remote_raw=13 local_norm=13 remote_norm=13 local_hash=5970c9 remote_hash=5970c9,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=gen_random_uuid() remote_raw=gen_random_uuid() local_norm=gen_random_uuid() remote_norm=gen_random_uuid() local_hash=e283166 remote_hash=e283166; ordinal_position: local_raw=1 remote_raw=1 local_norm=1 remote_norm=1 local_hash=2b5d6 remote_hash=2b5d6,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,metadata,present,present,EQUIVALENT,info,data_type: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; udt_name: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw='{}'::jsonb remote_raw='{}'::jsonb local_norm='{}' remote_norm='{}' local_hash=7c748dcb remote_hash=7c748dcb; ordinal_position: local_raw=12 remote_raw=12 local_norm=12 remote_norm=12 local_hash=5970c8 remote_hash=5970c8,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,motivo,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=6 remote_raw=6 local_norm=6 remote_norm=6 local_hash=2b5db remote_hash=2b5db,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,motivo_detalhe,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=7 remote_raw=7 local_norm=7 remote_norm=7 local_hash=2b5dc remote_hash=2b5dc,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,ocorrido_em,present,present,EQUIVALENT,info,data_type: local_raw=timestamp with time zone remote_raw=timestamp with time zone local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; udt_name: local_raw=timestamptz remote_raw=timestamptz local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=now() remote_raw=now() local_norm=now() remote_norm=now() local_hash=1004652a remote_hash=1004652a; ordinal_position: local_raw=5 remote_raw=5 local_norm=5 remote_norm=5 local_hash=2b5da remote_hash=2b5da,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,plano_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=8 remote_raw=8 local_norm=8 remote_norm=8 local_hash=2b5dd remote_hash=2b5dd,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,plano_nome,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=9 remote_raw=9 local_norm=9 remote_norm=9 local_hash=2b5de remote_hash=2b5de,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,tipo,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=4 remote_raw=4 local_norm=4 remote_norm=4 local_hash=2b5d9 remote_hash=2b5d9,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,user_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=2 remote_raw=2 local_norm=2 remote_norm=2 local_hash=2b5d7 remote_hash=2b5d7,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,vencimento_anterior,present,present,EQUIVALENT,info,data_type: local_raw=date remote_raw=date local_norm=date remote_norm=date local_hash=7c959163 remote_hash=7c959163; udt_name: local_raw=date remote_raw=date local_norm=date remote_norm=date local_hash=7c959163 remote_hash=7c959163; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=10 remote_raw=10 local_norm=10 remote_norm=10 local_hash=5970c6 remote_hash=5970c6,No action.,20260716090000_baseline_aruka_v1.sql
column,public,acompanhamento_eventos,vencimento_novo,present,present,EQUIVALENT,info,data_type: local_raw=date remote_raw=date local_norm=date remote_norm=date local_hash=7c959163 remote_hash=7c959163; udt_name: local_raw=date remote_raw=date local_norm=date remote_norm=date local_hash=7c959163 remote_hash=7c959163; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=11 remote_raw=11 local_norm=11 remote_norm=11 local_hash=5970c7 remote_hash=5970c7,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,acao,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=4 remote_raw=4 local_norm=4 remote_norm=4 local_hash=2b5d9 remote_hash=2b5d9,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,admin_user_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=2 remote_raw=2 local_norm=2 remote_norm=2 local_hash=2b5d7 remote_hash=2b5d7,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,created_at,present,present,EQUIVALENT,info,data_type: local_raw=timestamp with time zone remote_raw=timestamp with time zone local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; udt_name: local_raw=timestamptz remote_raw=timestamptz local_norm=timestamptz remote_norm=timestamptz local_hash=7acf37c7 remote_hash=7acf37c7; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=now() remote_raw=now() local_norm=now() remote_norm=now() local_hash=1004652a remote_hash=1004652a; ordinal_position: local_raw=11 remote_raw=11 local_norm=11 remote_norm=11 local_hash=5970c7 remote_hash=5970c7,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,dados_anteriores,present,present,EQUIVALENT,info,data_type: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; udt_name: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=7 remote_raw=7 local_norm=7 remote_norm=7 local_hash=2b5dc remote_hash=2b5dc,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,dados_novos,present,present,EQUIVALENT,info,data_type: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; udt_name: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=8 remote_raw=8 local_norm=8 remote_norm=8 local_hash=2b5dd remote_hash=2b5dd,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,entidade,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=5 remote_raw=5 local_norm=5 remote_norm=5 local_hash=2b5da remote_hash=2b5da,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,entidade_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=6 remote_raw=6 local_norm=6 remote_norm=6 local_hash=2b5db remote_hash=2b5db,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=gen_random_uuid() remote_raw=gen_random_uuid() local_norm=gen_random_uuid() remote_norm=gen_random_uuid() local_hash=e283166 remote_hash=e283166; ordinal_position: local_raw=1 remote_raw=1 local_norm=1 remote_norm=1 local_hash=2b5d6 remote_hash=2b5d6,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,ip,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=9 remote_raw=9 local_norm=9 remote_norm=9 local_hash=2b5de remote_hash=2b5de,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,target_user_id,present,present,EQUIVALENT,info,data_type: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; udt_name: local_raw=uuid remote_raw=uuid local_norm=uuid remote_norm=uuid local_hash=7c9f377c remote_hash=7c9f377c; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=3 remote_raw=3 local_norm=3 remote_norm=3 local_hash=2b5d8 remote_hash=2b5d8,No action.,20260716090000_baseline_aruka_v1.sql
column,public,admin_logs,user_agent,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=10 remote_raw=10 local_norm=10 remote_norm=10 local_hash=5970c6 remote_hash=5970c6,No action.,20260716090000_baseline_aruka_v1.sql
column,public,alunos,acompanhamento_encerrado_em,present,present,EQUIVALENT,info,data_type: local_raw=date remote_raw=date local_norm=date remote_norm=date local_hash=7c959163 remote_hash=7c959163; udt_name: local_raw=date remote_raw=date local_norm=date remote_norm=date local_hash=7c959163 remote_hash=7c959163; is_nullable: local_raw=YES remote_raw=YES local_norm=YES remote_norm=YES local_hash=b8836b6 remote_hash=b8836b6; column_default: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; ordinal_position: local_raw=18 remote_raw=18 local_norm=18 remote_norm=18 local_hash=5970ce remote_hash=5970ce,No action.,20260716090000_baseline_aruka_v1.sql
column,public,alunos,acompanhamento_motivo,present,present,NULLABILITY_DIFFERENT,critical,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=YES remote_raw=NO local_norm=YES remote_norm=NO local_hash=b8836b6 remote_hash=5974a2; column_default: local_raw=<null> remote_raw=''::text local_norm=null remote_norm='' local_hash=7c9b6140 remote_hash=596f73; ordinal_position: local_raw=19 remote_raw=19 local_norm=19 remote_norm=19 local_hash=5970cf remote_hash=5970cf,Treat nullability drift as material.,20260716090000_baseline_aruka_v1.sql
column,public,alunos,acompanhamento_motivo_detalhe,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw=''::text remote_raw=''::text local_norm='' remote_norm='' local_hash=596f73 remote_hash=596f73; ordinal_position: local_raw=20 remote_raw=20 local_norm=20 remote_norm=20 local_hash=5970e7 remote_hash=5970e7,No action.,20260716090000_baseline_aruka_v1.sql
column,public,alunos,acompanhamento_status,present,present,EQUIVALENT,info,data_type: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; udt_name: local_raw=text remote_raw=text local_norm=text remote_norm=text local_hash=7c9e690a remote_hash=7c9e690a; is_nullable: local_raw=NO remote_raw=NO local_norm=NO remote_norm=NO local_hash=5974a2 remote_hash=5974a2; column_default: local_raw='ativo'::text remote_raw='ativo'::text local_norm='ativo' remote_norm='ativo' local_hash=a891f676 remote_hash=a891f676; ordinal_position: local_raw=17 remote_raw=17 local_norm=17 remote_norm=17 local_hash=5970cd remote_hash=5970cd,No action.,20260716090000_baseline_aruka_v1.sql
