priority,security_impact,data_impact,category,schema,object,subobject,status,severity,source_migration,local_state,remote_state,details,evidence_quality,likely_cause,recommended_strategy,requires_remote_change,requires_history_alignment,manual_review_status
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_atualizar_perfil,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_atualizar_perfil,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_bloquear_usuario,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_bloquear_usuario,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_bloquear_usuario,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_eh_admin,authenticated.execute,LOCAL_ONLY,critical,20260716090000_baseline_aruka_v1.sql,present,absent,"Function grant exists locally but not in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",PARTIAL_ROUTINE_NAME_ONLY,Remote privilege differs from local baseline/grant contract.,"Classify platform role versus application role, then reconcile grants.",true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_eh_admin,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_eh_admin,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_liberar_assinante,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_liberar_assinante,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_liberar_assinante,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_liberar_beta,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_liberar_beta,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_liberar_beta,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_listar_logs,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_listar_logs,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_listar_logs,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_listar_usuarios,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_listar_usuarios,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_listar_usuarios,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_registrar_log,authenticated.execute,LOCAL_ONLY,critical,20260716090000_baseline_aruka_v1.sql,present,absent,"Function grant exists locally but not in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",PARTIAL_ROUTINE_NAME_ONLY,Remote privilege differs from local baseline/grant contract.,"Classify platform role versus application role, then reconcile grants.",true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_registrar_log,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_registrar_log,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_upsert_assinatura,authenticated.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for authenticated.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_upsert_assinatura,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_upsert_assinatura,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_validar_acesso,authenticated.execute,LOCAL_ONLY,critical,20260716090000_baseline_aruka_v1.sql,present,absent,"Function grant exists locally but not in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",PARTIAL_ROUTINE_NAME_ONLY,Remote privilege differs from local baseline/grant contract.,"Classify platform role versus application role, then reconcile grants.",true,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_validar_acesso,postgres.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for postgres.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,admin_validar_acesso,service_role.execute,PARTIALLY_VERIFIED,warning,20260716090000_baseline_aruka_v1.sql,present,present,routine_name-only grant match for service_role.execute; overload signature not present in remote CSV.,PARTIAL_ROUTINE_NAME_ONLY,Remote CSV lacks function signature/specific_name.,Collect signature-aware read-only evidence.,false,true,PENDING_MANUAL_REVIEW
P0,REVIEW_REQUIRED,LOW,function_grant,public,set_workout_templates_updated_at,public.execute,REMOTE_ONLY,critical,20260716090000_baseline_aruka_v1.sql,absent,present,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",PARTIAL_ROUTINE_NAME_ONLY,Remote privilege differs from local baseline/grant contract.,"Classify platform role versus application role, then reconcile grants.",false,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,aceites_legais,Usuarios podem listar seus aceites legais,REMOTE_MORE_PERMISSIVE,critical,permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=SELECT remote_raw=SELECT local_norm=select remote_norm=select local_hash=1b80e3c5 remote_hash=1b80e3c5; qual: local_raw=(auth.uid() = user_id) remote_raw=(auth.uid() = user_id) local_norm=auth.uid() = user_id remote_norm=auth.uid() = user_id local_hash=8dc18120 remote_hash=8dc18120; with_check: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140,present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,aceites_legais,Usuarios podem registrar seus aceites legais,REMOTE_MORE_PERMISSIVE,critical,permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=INSERT remote_raw=INSERT local_norm=insert remote_norm=insert local_hash=4d4029a remote_hash=4d4029a; qual: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; with_check: local_raw=((auth.uid() = user_id) AND (politica_aceita = true) AND (termos_aceitos = true)) remote_raw=((auth.uid() = user_id) AND (politica_aceita = true) AND (termos_aceitos = true)) local_norm=(auth.uid() = user_id) and (politica_aceita = true) and (termos_aceitos = true) remote_norm=(auth.uid() = user_id) and (politica_aceita = true) and (termos_aceitos = true) local_hash=eef7656f remote_hash=eef7656f,present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,admin_logs,Admins podem listar logs administrativos,REMOTE_MORE_PERMISSIVE,critical,permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=SELECT remote_raw=SELECT local_norm=select remote_norm=select local_hash=1b80e3c5 remote_hash=1b80e3c5; qual: local_raw=admin_eh_admin() remote_raw=[len 187 hash 9b3198b8] local_norm=admin_eh_admin() remote_norm=exists (select 1 from perfis where ((perfis.user_id = auth.uid()) and (perfis.status = 'ativo') and ((perfis.role = 'admin') or (perfis.tipo_acesso = 'admin')))) local_hash=274e74d3 remote_hash=f5f109c8; with_check: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140,present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,admin_logs,Usuarios comuns nao inserem logs administrativos,REMOTE_MORE_PERMISSIVE,critical,permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=INSERT remote_raw=INSERT local_norm=insert remote_norm=insert local_hash=4d4029a remote_hash=4d4029a; qual: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; with_check: local_raw=false remote_raw=false local_norm=false remote_norm=false local_hash=f6bcef0 remote_hash=f6bcef0,present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,anamneses,Usuarios podem atualizar suas anamneses,REMOTE_MORE_PERMISSIVE,critical,"permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=UPDATE remote_raw=UPDATE local_norm=update remote_norm=update local_hash=20edd0a8 remote_hash=20edd0a8; qual: local_raw=(auth.uid() = user_id) remote_raw=(( SELECT auth.uid() AS uid) = user_id) local_norm=auth.uid() = user_id remote_norm=(select auth.uid() as uid) = user_id local_hash=8dc18120 remote_hash=62194ce7; with_check: local_raw=((auth.uid() = user_id) AND (EXISTS ( SELECT 1
   FROM alunos
  WHERE ((alunos.id = anamneses.aluno_id) AND (alunos.user_id = auth.uid()))))) remote_raw=((( SELECT auth.uid() AS uid) = user_id) AND (EXISTS ( SELECT 1
   FROM alunos
  WHERE ((alunos.id = anamneses.aluno_id) AND (alunos.user_id = ( SELECT auth.uid() AS uid)))))) local_norm=(auth.uid() = user_id) and (exists (select 1 from alunos where ((alunos.id = anamneses.aluno_id) and (alunos.user_id = auth.uid())))) remote_norm=((select auth.uid() as uid) = user_id) and (exists (select 1 from alunos where ((alunos.id = anamneses.aluno_id) and (alunos.user_id = (select auth.uid() as uid))))) local_hash=d4b027b7 remote_hash=958f8c05",present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,anamneses,Usuarios podem cadastrar suas anamneses,REMOTE_MORE_PERMISSIVE,critical,"permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=INSERT remote_raw=INSERT local_norm=insert remote_norm=insert local_hash=4d4029a remote_hash=4d4029a; qual: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140; with_check: local_raw=((auth.uid() = user_id) AND (EXISTS ( SELECT 1
   FROM alunos
  WHERE ((alunos.id = anamneses.aluno_id) AND (alunos.user_id = auth.uid()))))) remote_raw=((( SELECT auth.uid() AS uid) = user_id) AND (EXISTS ( SELECT 1
   FROM alunos
  WHERE ((alunos.id = anamneses.aluno_id) AND (alunos.user_id = ( SELECT auth.uid() AS uid)))))) local_norm=(auth.uid() = user_id) and (exists (select 1 from alunos where ((alunos.id = anamneses.aluno_id) and (alunos.user_id = auth.uid())))) remote_norm=((select auth.uid() as uid) = user_id) and (exists (select 1 from alunos where ((alunos.id = anamneses.aluno_id) and (alunos.user_id = (select auth.uid() as uid))))) local_hash=d4b027b7 remote_hash=958f8c05",present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
P0,HIGH,LOW,policy,public,anamneses,Usuarios podem excluir suas anamneses,REMOTE_MORE_PERMISSIVE,critical,permissive: local_raw=PERMISSIVE remote_raw=PERMISSIVE local_norm=permissive remote_norm=permissive local_hash=e892274c remote_hash=e892274c; roles: local_raw={authenticated} remote_raw={public} local_norm=authenticated remote_norm=public local_hash=486e9848 remote_hash=159d94a4; cmd: local_raw=DELETE remote_raw=DELETE local_norm=delete remote_norm=delete local_hash=f8838478 remote_hash=f8838478; qual: local_raw=(auth.uid() = user_id) remote_raw=(( SELECT auth.uid() AS uid) = user_id) local_norm=auth.uid() = user_id remote_norm=(select auth.uid() as uid) = user_id local_hash=8dc18120 remote_hash=62194ce7; with_check: local_raw=<null> remote_raw=null local_norm=null remote_norm=null local_hash=7c9b6140 remote_hash=7c9b6140,present,present,Review policy role scope before any production action.,CATALOG_CSV_AND_LOCAL_CATALOG,Remote policy role is broader than local contract.,Prioritize policy reconciliation before any history repair.,true,true,PENDING_MANUAL_REVIEW
