priority,category,object,subobject,status,classification,security_impact,financial_impact,recommended_strategy,details,evidence_update
P0,table_grant,workout_templates,anon.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P0,table_grant,workout_templates,anon.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,function_grant,alterar_estado_treino,anon.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,alterar_estado_treino,service_role.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,aoe_idempotency_get_or_create,anon.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,aoe_user_owns_student,anon.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,entregar_treino,anon.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,entregar_treino,service_role.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,salvar_treino_composto,anon.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,salvar_treino_composto,service_role.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,set_workout_templates_updated_at,anon.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,function_grant,set_workout_templates_updated_at,authenticated.execute,REMOTE_ONLY,EXTRA_GRANT_SIGNATURE_REVIEWED,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,"Function grant exists only in remote evidence. CSV lacks function arguments/specific_name, so overload match is partial.",signature-aware CSV received
P3,policy,alunos,Usuário cadastra seus alunos,REMOTE_ONLY,LEGACY_POLICY,HIGH,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,policy,alunos,Usuário edita seus alunos,REMOTE_ONLY,LEGACY_POLICY,HIGH,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,policy,alunos,Usuário exclui seus alunos,REMOTE_ONLY,LEGACY_POLICY,HIGH,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,policy,alunos,Usuário vê apenas seus alunos,REMOTE_ONLY,LEGACY_POLICY,HIGH,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,aceites_legais,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,acompanhamento_eventos,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,alunos,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,anamneses,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,aoe_audit_events,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,aoe_decision_traces,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,aoe_decisions,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,aoe_human_reviews,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,aoe_idempotency_keys,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,assinaturas,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,avaliacoes,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,pagamentos,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,perfis,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,planos,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,REVIEW_REQUIRED,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treino_dias,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treino_eventos,service_role.DELETE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treino_eventos,service_role.INSERT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treino_eventos,service_role.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treino_eventos,service_role.UPDATE,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treino_exercicios,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,treinos,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
P3,table_grant,workout_templates,anon.SELECT,REMOTE_ONLY,EXTRA_GRANT,REVIEW_REQUIRED,LOW,Do not remove automatically; classify with read-only evidence and application usage.,Object exists only in remote evidence.,unchanged
