schema,function_name,signature,category,reconciliation_status,source_migration,security_definer,volatility,return_type,search_path,local_exists,remote_exists,local_definition_hash,remote_definition_hash,grant_evidence,recommended_action
public,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date",FINANCIAL,REMOTE_OVERLOAD_ONLY,20260716090000_baseline_aruka_v1.sql,true,,,public,false,true,,,authenticated.execute.EQUIVALENT; authenticated.execute.UNVERIFIED; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_upsert_assinatura,"p_user_id uuid, p_plano text, p_status text, p_data_inicio date, p_data_vencimento date, p_user_agent text",FINANCIAL,BODY_DIFFERENT,return_type: local_raw=void remote_raw=void local_norm=void remote_norm=void local_hash=7c9faa57 remote_hash=7c9faa57; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1831 hash de03914e] remote_raw=[len 2023 hash c9c60e05] local_norm=[len 1609 hash ef3f521a] remote_norm=[len 1621 hash 601807d6] local_hash=ef3f521a remote_hash=601807d6,true,VOLATILE,void,"'public', 'auth'",true,true,1ed9bb633e6c,601807d6,authenticated.execute.EQUIVALENT; authenticated.execute.UNVERIFIED; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,admin_validar_acesso,,ADMIN,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,void,'public',true,true,44c548f3abde,,,No Phase 3 divergence detected.
public,alterar_estado_treino,"p_treino_id uuid, p_lifecycle_status text",WORKOUT_DELIVERY,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,jsonb,'public',true,true,a87203d36913,,,No Phase 3 divergence detected.
public,aoe_idempotency_get_or_create,"p_id text, p_actor_id uuid, p_organization_id uuid, p_operation text, p_idempotency_key text, p_request_fingerprint text",AOE,BODY_DIFFERENT,return_type: local_raw=jsonb remote_raw=jsonb local_norm=jsonb remote_norm=jsonb local_hash=fbe1be1 remote_hash=fbe1be1; security_definer: local_raw=true remote_raw=true local_norm=true remote_norm=true local_hash=7c9e9fe5 remote_hash=7c9e9fe5; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 1087 hash 28872e48] remote_raw=[len 950 hash 2f57b34e] local_norm=[len 961 hash d608c583] remote_norm=[len 802 hash 3c58f6f8] local_hash=d608c583 remote_hash=3c58f6f8,true,VOLATILE,jsonb,'public',true,true,e8aa22746f1e,3c58f6f8,anon.execute.REMOTE_MORE_PERMISSIVE; authenticated.execute.EQUIVALENT; postgres.execute.PLATFORM_MANAGED_EXPECTED; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,aoe_user_owns_student,p_student_id uuid,AOE,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,boolean,'public',true,true,e5f9b3b0f62c,,,No Phase 3 divergence detected.
public,desvincular_aluno_usuario,p_aluno_id uuid,STUDENT_IDENTITY,LOCAL_OVERLOAD_ONLY,20260730090000_student_identity_contract.sql,true,VOLATILE,jsonb,'public',true,false,9d81a7e15d03,,,Compare normalized body against production function definition before designing SQL.
public,entregar_treino,p_treino_id uuid,WORKOUT_DELIVERY,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,jsonb,'public',true,true,f798a4884035,,,No Phase 3 divergence detected.
public,get_my_student_workouts,,STUDENT_IDENTITY,LOCAL_OVERLOAD_ONLY,20260730090000_student_identity_contract.sql,true,VOLATILE,jsonb,'public',true,false,b4caafabd11d,,,Compare normalized body against production function definition before designing SQL.
public,processar_encerramento_automatico_aluno,"p_user_id uuid, p_aluno_id uuid, p_vencimento date, p_ocorrido_em date, p_event_key text, p_plano_id uuid, p_plano_nome text, p_dias_apos_vencimento integer, p_status_anterior text",UNKNOWN,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,jsonb,'public',true,true,0eb92bda58a3,,,No Phase 3 divergence detected.
public,salvar_treino_composto,p_treino jsonb,WORKOUT_DELIVERY,EQUIVALENT_OR_NOT_IN_PHASE3_DIFF,20260716090000_baseline_aruka_v1.sql,true,VOLATILE,jsonb,'public',true,true,398bf91404a8,,,No Phase 3 divergence detected.
public,set_workout_templates_updated_at,,UTILITY,BODY_DIFFERENT,return_type: local_raw=trigger remote_raw=trigger local_norm=trigger remote_norm=trigger local_hash=f6b58819 remote_hash=f6b58819; security_definer: local_raw=false remote_raw=false local_norm=false remote_norm=false local_hash=f6bcef0 remote_hash=f6bcef0; volatility: local_raw=VOLATILE remote_raw=v local_norm=VOLATILE remote_norm=VOLATILE local_hash=51192625 remote_hash=51192625; definition: local_raw=[len 209 hash 3079dcd4] remote_raw=[len 185 hash 6fa132d] local_norm=function set_workout_templates_updated_at() returns trigger  set search_path to 'public' as $ begin new.updated_at = now(); return new; end; $ remote_norm=function set_workout_templates_updated_at() returns trigger  as $ begin new.updated_at = now(); return new; end; $ local_hash=22ec5017 remote_hash=b0e0fcd9,false,VOLATILE,trigger,'public',true,true,95237e175a93,b0e0fcd9,anon.execute.REMOTE_ONLY_GRANT; authenticated.execute.REMOTE_MORE_PERMISSIVE; postgres.execute.PLATFORM_MANAGED_EXPECTED; public.execute.REMOTE_ONLY_GRANT; service_role.execute.PLATFORM_MANAGED_EXPECTED,Compare normalized body against production function definition before designing SQL.
public,vincular_aluno_usuario,"p_aluno_id uuid, p_student_user_id uuid",STUDENT_IDENTITY,LOCAL_OVERLOAD_ONLY,20260730090000_student_identity_contract.sql,true,VOLATILE,jsonb,'public',true,false,d96fed5dc253,,,Compare normalized body against production function definition before designing SQL.
