cycle,finding,route,page,viewport,runtime_available,document_overflow,allowed_internal_scroll,status,notes
02,F-003,/admin/usuarios,Admin usuarios,360x800,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/,Dashboard,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/usuarios,Admin usuarios,375x812,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/,Dashboard,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/usuarios,Admin usuarios,390x844,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/,Dashboard,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/usuarios,Admin usuarios,414x896,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/,Dashboard,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/usuarios,Admin usuarios,1280x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/,Dashboard,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/alunos,Alunos,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/treinos,Treinos,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/avaliacoes,Avaliacoes,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/planos,Planos,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/financeiro,Financeiro,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/logs,Admin logs,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
02,F-003,/admin/usuarios,Admin usuarios,1440x900,true,not_measured_static_guard_only,tables_and_nav_only,pass_runtime_ready,Runtime precheck passed for http://localhost:5173; DOM measurement is ready for browser execution.
